Statistic,LengthInf,LengthSup,LengthBase,CosAngle+1,SinAngle+1,Area,Height
Train_Mean,10.170499129838207,10.170499121944793,15.94697373144085,0.9149311049822321,1.478867418376722,61.65306653998391,5.194888411526719
Train_Std,9.90802138358062,9.908021383580614,12.924789525297319,0.2688403604344785,0.8313609103903458,180.68162477244113,4.600590588793747
Train_Max,377.57574462890625,377.57574462890625,421.9273376464844,1.9999970197677612,2.0,20533.638671875,137.04505920410156
Train_Min,0.0,0.0,0.0019792395178228617,1.5233306385198375e-06,-2.220446049250313e-16,0.0,0.0
Valid_Mean,10.298328262708875,10.298328266980933,16.191402036681946,0.9111288100905589,1.4769135434165774,63.63236895118336,5.208304941684636
Valid_Std,10.24855443524238,10.248554435242369,13.397167041309755,0.2740849630741719,0.8303811281184377,216.06682990477117,4.716542567867925
Valid_Max,284.81585693359375,284.81585693359375,323.0116271972656,1.9999983310699463,2.0,21695.896484375,134.3350830078125
Valid_Min,0.008071007207036018,0.008071007207036018,0.38009315729141235,1.5258349321811693e-06,3.3306690738754696e-16,0.0003369816695339978,9.806985326576978e-05
Test_Mean,10.374920282275285,10.374920312065825,16.23957704456153,0.9189605826701484,1.4821648910665235,69.02311080269973,5.329784903072437
Test_Std,10.329410583271308,10.329410583271288,13.528824806509586,0.26334507942616125,0.8316243164769352,305.0580470354889,5.156359002140372
Test_Max,213.61888122558594,213.61888122558594,293.79083251953125,1.9999958276748657,2.0,21542.65234375,146.6529998779297
Test_Min,0.010959251783788204,0.010959251783788204,0.09303449094295502,1.5252256844178191e-06,1.2212453270876722e-15,0.0007457746542058885,0.0007294351817108691
